| Column Name                                     | Recommended Business Description                                                                           |
| ----------------------------------------------- | ---------------------------------------------------------------------------------------------------------- |
| `tddssbidpq_fiscal_period_cd`                   | Fiscal period code associated with the digital quote record.                                               |
| `accpn_pholder_company_name_tx`                 | Company name of the primary account or policy holder.                                                      |
| `accpn_pholder_email_home_tx`                   | Home email address of the primary account or policy holder.                                                |
| `accpn_pholder_full_name_tx`                    | Full name of the primary account or policy holder.                                                         |
| `accpn_pholder_phone_work_no`                   | Work phone number of the primary account or policy holder.                                                 |
| `tddssbidpq_bind_after_first_email_in`          | Indicator showing whether the quote was bound after the first email interaction.                           |
| `tddssbidpq_bind_after_second_email_in`         | Indicator showing whether the quote was bound after the second email interaction.                          |
| `tddssbidpq_cal_fiscal_month_nb`                | Fiscal month number associated with the digital quote activity.                                            |
| `tddssbidpq_cal_fiscal_year_nb`                 | Fiscal year associated with the digital quote activity.                                                    |
| `tddssbidpq_call_back_after_first_email_in`     | Indicator showing whether a callback occurred after the first email interaction.                           |
| `tddssbidpq_call_back_after_second_email_in`    | Indicator showing whether a callback occurred after the second email interaction.                          |
| `pol_quote_channel_incoming_cd`                 | Code identifying the incoming channel through which the quote submission was received.                     |
| `pol_cauto_operation_1_segment_de`              | Industry segment description for the first Commercial Auto operation associated with the policy or quote.  |
| `pol_cauto_operation_2_segment_de`              | Industry segment description for the second Commercial Auto operation associated with the policy or quote. |
| `pol_cauto_operation_3_segment_de`              | Industry segment description for the third Commercial Auto operation associated with the policy or quote.  |
| `pol_cpl_operation_1_class_industry_segment_cd` | Industry segment code for the first CPL operation class associated with the policy or quote.               |
| `pol_cpl_operation_2_class_industry_segment_cd` | Industry segment code for the second CPL operation class associated with the policy or quote.              |
| `pol_cpl_operation_3_class_industry_segment_cd` | Industry segment code for the third CPL operation class associated with the policy or quote.               |
| `tddssbidpq_quote_updated_dt`                   | Date on which the digital quote record was last updated.                                                   |
| `tddssbidpq_customer_type_tx`                   | Customer type classification, such as new customer or existing customer.                                   |
| `tddssbidpq_quote_drop_reason_tx`               | Reason why the digital quote was dropped or abandoned.                                                     |
| `tddssbidpq_first_email_sent_in`                | Indicator showing whether the first email was sent for the digital quote.                                  |
| `hfw_delivery_dt`                               | Delivery date of the Hive Framework data extract or processing batch.                                      |
| `hfw_cal_period_part`                           | Fiscal period partition used by Hive Framework for data storage or processing.                             |
| `pol_region_de`                                 | Region where the policy or quote was written or submitted.                                                 |
| `tddssbidpq_initial_pq_in`                      | Indicator showing whether the record represents an initial partial quote.                                  |
| `pol_line_cd`                                   | Policy line code identifying the insurance line of business, such as Auto, COAU, COPL, or Home.            |
| `pol_jurisdiction_de`                           | Jurisdiction associated with the policy or quote for reporting purposes.                                   |
| `pol_transaction_no`                            | Transaction number assigned to the policy or quote transaction.                                            |
| `policy_version_key`                            | Unique key identifying a specific version of a policy.                                                     |
| `pol_product_reporting_de`                      | Product reporting description used to classify the policy or quote for business reporting.                 |
| `tddssbidpq_quote_status_after_first_email_tx`  | Quote status after the first email interaction.                                                            |
| `tddssbidpq_quote_status_after_second_email_tx` | Quote status after the second email interaction.                                                           |
| `policy_key`                                    | Unique policy identifier; the same policy may have multiple versions linked to this key.                   |
